"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7334","Fam98c",94.5634611461457,0.711433468156163,0.116455864944565,6.10815116203895,1.00791870702169e-09,2.39482938954206e-09
"7335","Fan1",312.588459410732,-0.452966424008335,0.0749153735881633,-6.04669838765652,1.47844155223023e-09,3.48318488068547e-09
"7336","Fanca",997.185868241533,0.162422412120099,0.0421169937730525,3.85637321468066,0.000115081742901847,0.000204438288339071
"7337","Fancb",261.05671894457,-0.104054872729327,0.0729252778895173,-1.42699971196121,0.153579977653302,0.196898775826452
"7338","Fancc",304.402442222713,-0.0220371746721555,0.0698799893976735,-0.31544708792862,0.752422219370357,0.800001604581867
"7339","Fancd2",740.577660150018,0.302134012772121,0.0569328673278686,5.30682697702383,1.11549970312909e-07,2.37920814341075e-07
"7340","Fancd2os",0.608810104573401,-0.0812838244637508,0.758461382896509,-0.132901889078969,0.894270972889903,0.919854343907777
"7341","Fance",409.724806578184,-0.319937754844417,0.054695870342301,-5.84922367914802,4.93872580900181e-09,1.13133131578538e-08
"7342","Fancf",120.042785841183,-0.294731371268363,0.0997734452371264,-2.95425000467994,0.00313429981051315,0.00495561117820291
"7343","Fancg",410.940422874255,-0.00273683742678765,0.063939657158021,-0.0429225720583271,0.965763255429061,0.973356996146698
"7344","Fanci",760.565604345217,0.333501060056466,0.0512850332669662,6.50287424907402,7.87996658967035e-11,1.96386952771882e-10
"7345","Fancl",562.789028530193,-0.32755936610401,0.0532864556673292,-6.14731103617218,7.88074986369069e-10,1.88144487750162e-09
"7346","Fancm",1494.53705746995,-0.0353639883773262,0.039762545825225,-0.889452052826335,0.373760180680567,0.439809029196368
"7347","Fank1",4.91297410111426,-1.0043048618389,0.457008787459818,-2.17271812717911,0.0298015386057163,0.0424306738388604
"7348","Fap",170.534213996495,-6.36443926162233,0.318682570561483,-17.5409755654562,6.97201647126311e-69,6.37574832981895e-68
"7349","Far1",2422.71554796608,0.0650364049931605,0.0387611691873813,1.67786349022446,0.0933737513664502,0.124217731262472
"7351","Far2",7.49201440168418,-1.06525727767878,0.41162180227624,-2.571591055551,0.0101232390625793,0.0152017540103619
"7352","Farp1",5399.58506649304,-0.459186793396676,0.0383354797713837,-11.9782604872213,4.61914199367433e-33,2.23563563561593e-32
"7353","Farp2",216.990532142308,-0.245909977063475,0.0801421443004005,-3.06860478785402,0.00215060890582394,0.00345389475558752
"7354","Fars2",401.290782446981,1.15616907608454,0.0614612644445313,18.8093660661635,6.329006862507e-79,6.64041704089543e-78
"7355","Farsa",1555.94256918562,-0.0900519185925755,0.0385621414083592,-2.33524564462315,0.0195305919040528,0.028464109329192
"7356","Farsb",1698.29317148354,0.116584531386588,0.0358451662520751,3.25246808718253,0.00114407442221852,0.00188465238169337
"7357","Fas",17.5268196672297,0.403135614964287,0.309445968420395,1.3026745999986,0.192685877191246,0.242616629448599
"7358","Fasl",0.49627876842282,0.299551071500547,0.74462750193418,0.41111659452677,0.680987042384469,0.737179763881773
"7359","Fasn",11525.1885344544,-0.720678973284275,0.0309465851226396,-23.2878434044486,5.88747737148102e-120,1.02351102843513e-118
"7360","Fastk",1726.3470388021,1.077004427176,0.0298038643321986,36.1356464984784,6.2527860610769e-286,5.33947402298904e-284
"7361","Fastkd1",492.156108296994,0.911923417149572,0.055199706740597,16.519605495956,2.65126572500778e-61,2.16000867039614e-60
"7362","Fastkd2",732.932618090485,0.224682155544713,0.0424926168797325,5.28757660208074,1.23947461541471e-07,2.63813862004666e-07
"7363","Fastkd3",418.772300125243,-0.453590566610911,0.0549563276369222,-8.25385977136313,1.53359286146108e-16,4.72396799092344e-16
"7364","Fastkd5",597.335954724418,0.268954659962221,0.0468267333251612,5.74363486543588,9.26654944415808e-09,2.09155047109026e-08
"7365","Fat1",8317.7176473923,-0.432963670474894,0.069827828936944,-6.20045334695643,5.6300747809489e-10,1.35234704173203e-09
"7366","Fat2",48.9323725062124,-4.27582733234508,0.349755404916732,-11.0537504483644,2.10244040147939e-28,9.05006142480449e-28
"7367","Fat3",765.043207574139,-0.520592062797162,0.0933861223640925,-5.57494238658085,2.47611799277524e-08,5.4638110272448e-08
"7368","Fat4",3522.67155840711,-1.85368055013331,0.0777649392840373,-23.8364911242521,1.39824899110358e-125,2.58683075635964e-124
"7370","Fau",7294.00767187507,0.00681303055871264,0.0391838475177875,0.173882179566295,0.861958057922093,0.894096073466033
"7371","Faxc",1513.10428100227,-1.07803725613124,0.043610575194193,-24.7196216372476,6.58057462965568e-135,1.34865221159999e-133
"7372","Fbf1",1797.48643804117,-0.578148332041045,0.040573026026446,-14.2496689430554,4.50411375752086e-46,2.8162162121177e-45
"7373","Fbl",3454.90795293828,-0.333097323863562,0.0347931242494309,-9.57366495531914,1.03181708725687e-21,3.71716136219783e-21
"7374","Fblim1",2844.07889730367,-0.875995496419762,0.0503081571333601,-17.4125087342185,6.63132399063861e-68,5.96366509055725e-67
"7375","Fbll1",2.03220512342041,-2.35815890955387,0.73341391800362,-3.32424440855957,0.000886584593363704,0.00147444349694288
"7376","Fbln1",3149.57075103213,0.0514719420882268,0.0423136381182481,1.21644019322521,0.223817280678332,0.278262991514682
"7377","Fbln2",2695.21151767709,1.15347695210168,0.0768450204239719,15.0102482003051,6.29118543510691e-51,4.28669801812143e-50
"7378","Fbln5",354.933663445486,-3.0110238146799,0.154738804698174,-19.4299783513575,4.30543604424806e-84,4.83640486212883e-83
"7379","Fbln7",48.7177110269946,0.166690489978073,0.186644884913654,0.892387721163788,0.372185150253198,0.438235243946392
"7380","Fbn1",6250.5951873574,0.567010726104994,0.0596903289649549,9.49919525994902,2.11518541020394e-21,7.53073653843519e-21
"7381","Fbn2",13879.8247926928,-0.283085632548251,0.059427080397845,-4.76357904792637,1.90189056023541e-06,3.78919544000239e-06
"7382","Fbp1",2.36547526366993,-1.96424191735539,0.652436214956249,-3.01401833879555,0.00257812221522547,0.00410722614094264
"7383","Fbp2",2.92700150355133,0.472995191766318,0.650096684637476,0.737716864990096,0.460686521469029,0.528706003515196
"7384","Fbrs",1369.23002430307,-0.255153010898959,0.036333352570088,-7.02268360683179,2.17646703371609e-12,5.80296826205453e-12
"7385","Fbrsl1",1003.09673017139,-0.85583520347663,0.0527400292908637,-16.227567617861,3.21967419166335e-59,2.53573400790907e-58
